Date;Sexe;Age;Rura;Card;Etud;pro;parent;parent2;Retraite;Regime_B;végétarien;diabétique;gluten;C_leg;C_frui;C_fec;C_lait;C_viaB;C_viaR;C_poi;C_indu;C_light;Pd_Frais;Crit_influe_C;Choix;Etiqt;Pub;5fj;5flj_p;reco;reco_P;A_patho;A_sante;Mangé_E;Repas;VF_Eq;VF_Su;VF_HO;VF_Fec;VF_soir;VF_saut;VF_Eq_Reg;VF_Eq_bon;VF_medi;pdp;modif;info;momnt;Qst;diét
2021-11-19 17:42:13.035;Femme;+60;Rural;Sud;Bac;Retraité;;;Salarié;Non;False;False;False;A tous les repas;Très rarement;1 x par jour;1 x par jour;5 x par semaine;Très rarement;Très rarement;5 x par semaine;Très rarement;Oui;Gout, Santé;Je regarde l'étiquette nutritionelle, Je regarde la provenance du produit;les matieres grasses et le sucre;Non;Oui je connais, Je n'applique pas;je la pense inexacte;Oui;manger diversifié;Oui;Oui;manger de tout en petite quantité et des produits de saison;"salade ; poulet; carottes avec kinoa";Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;supprimer les produits laitier et le pain.les graisses cuites;oui . manger peu de legumineuse, probleme de digestion;Oui;Collège, Lycée;je ne sais pas si mon alimentation correspond a mon age et a ma forme physique;Cela parait fastidieux long et entraine des privations
2021-11-19 17:54:33.540;Femme;18-34;Rural;Sud;Bac;Etudiant;;;;Non;False;False;False;1 x par jour;1 x par jour;5 x par semaine;1 x par jour;1 x par semaine;1 x par semaine;Très rarement;3 x par semaine;Très rarement;Oui;Gout;Je regarde le prix;;Non;Oui je connais, J'applique;;Oui;3 produits laitiers par jour ;Oui;Oui;Éviter les produits trop gras ou sucré;Salade de pâtes;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Ne plus manger de fast foods et eviter les grignotages sucrés;Essayer de manger moins vite car cela me fait manger plus ;Oui;Collège;Non;Ils préfèrent faire des régimes eux mêmes ou suivre les recommandations d'instagrameur par exemple 
2021-11-19 17:59:52.318;Homme;+60;Rural;Sud;Bac;Retraité;;;Cadre;Oui;False;False;False;1 x par jour;3 x par semaine;3 x par semaine;1 x par jour;3 x par semaine;Très rarement;1 x par semaine;1 x par semaine;Très rarement;Oui;Gout, Santé;Je regarde la provenance du produit;le taux de  sucre ;Non;Oui je connais; pas evident d'etre a 5 elements systematiquement;Non;;Oui;Oui;evité certain abus ;????;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;alcool et  grignotage ;je fais attention au sucre;Non;Collège, Lycée, Faculté;simplement manger equilibré;pas de prise en charge secu 
2021-11-19 18:03:47.127;Femme;18-34;Citad;Sud;Bac;Profession libérale;;;;Non;False;False;False;1 x par jour;1 x par semaine;Très rarement;1 x par jour;1 x par jour;1 x par semaine;Très rarement;Très rarement;Très rarement;Oui;Gout, Santé;Je regarde l'étiquette nutritionelle;;Non;Oui je connais;Difficulté à ajouter des fruits dans mon alimentation par manque de temps pour les couper / éplucher + je ne calcule pas ;Oui;les produits laitiers sont nos amis pour la vie ;Oui;Oui;Ne rien manger dans l'excès, manger de saison, équilibrer les protéines / lipides / glucides, apporter à notre corps le nécessaire pour un bon fonctionnement ;Filet de poulet, mélange de légumes verts aux épices, quinoa;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Rééquilibrer les portions et quantité de glucides / lipides, vérifier mon activité et faire corréler mon alimentation à mon activité et sport évidemment;Régime protéiné lors de concentration sur la prise de muscle et sèche;Oui;Collège;Pas spécialement;Ce n'est pas dans les moeurs de parler alimentation à part lorsqu'il est question des régimes et je pense que majoritairement les personnes ne pensent pas qu'une alimentation peut aider ou au contraire détériorer une pathologie
2021-11-19 19:15:13.357;Homme;18-34;Rural;Sud;Bac;Salarié;;;;Non;False;False;False;1 x par jour;5 x par semaine;1 x par jour;3 x par semaine;1 x par jour;5 x par semaine;Très rarement;Très rarement;Très rarement;Oui;Gout;Je regarde la provenance du produit;;Non;Oui je connais, Je n'applique pas;Car je trouve que ça ne veut pas dire grand chose. c'est compliqué à quantifier. Est-ce que manger des légumes et des fruits à chaque repas équivaut à 5 fruits et légumes par jour ? si c'est le cas alors je l'applique.;Non;;Oui;Oui;Légume/féculant/viande/fromage/fruit à chaque repas;salade/ratatouille+pâte/viande blanche ou rouge/fromage/désert;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Oui;Limiter mes calories. Faire attention à ne pas manger de produit gras;Seulement lorsque je veux perdre un peu de poids. Une fois revenu à mon poids, je reprends mes habitudes;Oui;Collège;Non;Pas forcément une profession connu et aprioris
2021-11-19 19:23:20.183;Femme;18-34;Citad;Sud;Bac +5;Etudiant;;;;Oui;True;False;False;A tous les repas;1 x par jour;1 x par jour;1 x par jour;Très rarement;Très rarement;Très rarement;Très rarement;Très rarement;Oui;Gout, Santé;Je regarde la provenance du produit;Composition (nombre d'ingrédients conservateurs etc) ;Non;Oui je connais, J'applique;;Oui;Pas trop salé ni trop sucré ;Oui;Oui;Composer des assiettes avec protéines glucides et légumes à chaque repas ;Des œufs des légumes et des pâtes ;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Sport et manger QUE quand j'ai faim ;Non;Oui;Collège;Est elle assez équilibrée ;C'est une démarche qui semble moins difficile que aller chez le dentiste quand on a mal aux dents. 
2021-11-22 12:52:51.075;Homme;18-34;Rural;Sud;Bac+3;Chomeur;;;;Non;False;False;False;5 x par semaine;1 x par semaine;5 x par semaine;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Très rarement;Oui;Santé, Le prix;Je regarde l'étiquette nutritionelle, Je regarde la provenance du produit;Les ingrédients ;Non;Oui je connais, J'esaye d'appliquer;Les fruits c'est cher;Oui;2 verres par jour et pas tous les jours ;Oui;Oui;Pas trop de viande;Riz poulet legume;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Sport;Non;Oui;Collège;Non;Ils ne savent pas qu'ils ont un problème alimentaire 
2021-11-22 13:12:56.334;Homme;18-34;Rural;Sud;Bac;Salarié;;;;Non;False;False;False;3 x par semaine;1 x par semaine;A tous les repas;1 x par semaine;3 x par semaine;3 x par semaine;Très rarement;5 x par semaine;Très rarement;Non;Aliment rassasiant;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, Je n'applique pas;;Oui;Éviter de grignoter entre les repas;Oui;Oui;Ne pas manger tout le temps la même chose;Féculent, légumes, viande/poisson;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Faire attention à mon alimentation;Plus diversitée pour ma santé;Non;Collège, Lycée;Non;Ils n'en ressentent pas le besoin
2021-11-22 13:15:21.498;Homme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;Très rarement;1 x par jour;1 x par jour;1 x par jour;5 x par semaine;1 x par semaine;Très rarement;1 x par semaine;Jamais;Oui;Gout, Aliment rassasiant;Je regarde l'étiquette nutritionelle, Je regarde le prix;Matières grasses;Oui, Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré), Autres;J'esaye d'appliquer;;Non;;Non;Oui;Ne pas manger entre les repas;Poulet 🍗 pâte ;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Sport;Non;Oui;Milieu professionel;Non;Parce qu’ils pensent le régler tout seul certainement ? 
2021-11-22 13:34:08.943;Femme;18-34;Rural;Sud;Bac +5;Salarié;;;;Non;False;False;False;A tous les repas;1 x par jour;1 x par jour;1 x par jour;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;Oui;Gout, Aliment rassasiant;Je me fie à l'attrait du marketing, Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Manger de tout ;Légumes / protéines et féculents ;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Arrêter les sucres raffinés et arrêter l’alcool ;Non;Non;Lycée;Non;Tarifs + trop restrictif pour certains 
